movieId,title,genres,combined_features
100,City Hall (1996),Drama|Thriller,City Hall (1996) Drama|Thriller
101,Bottle Rocket (1996),Comedy,Bottle Rocket (1996) Comedy
102,Mr. Wrong (1996),Comedy,Mr. Wrong (1996) Comedy
103,Unforgettable (1996),Thriller,Unforgettable (1996) Thriller
104,Happy Gilmore (1996),Comedy,Happy Gilmore (1996) Comedy
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Bridges of Madison County, The (1995) Drama|Romance"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Nobody Loves Me (Keiner liebt mich) (1994) Comedy|Drama
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,Muppet Treasure Island (1996) Adventure|Children's|Comedy|Musical
108,Catwalk (1995),Documentary,Catwalk (1995) Documentary
109,Headless Body in Topless Bar (1995),Comedy,Headless Body in Topless Bar (1995) Comedy
110,Braveheart (1995),Action|Drama|War,Braveheart (1995) Action|Drama|War
111,Taxi Driver (1976),Drama|Thriller,Taxi Driver (1976) Drama|Thriller
112,Rumble in the Bronx (1995),Action|Adventure|Crime,Rumble in the Bronx (1995) Action|Adventure|Crime
113,Before and After (1996),Drama|Mystery,Before and After (1996) Drama|Mystery
114,Margaret's Museum (1995),Drama,Margaret's Museum (1995) Drama
115,Happiness Is in the Field (1995),Comedy,Happiness Is in the Field (1995) Comedy
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered (1995) Documentary
117,"Young Poisoner's Handbook, The (1995)",Crime,"Young Poisoner's Handbook, The (1995) Crime"
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell (1996) Comedy|Romance
119,"Steal Big, Steal Little (1995)",Comedy,"Steal Big, Steal Little (1995) Comedy"
120,Race the Sun (1996),Drama,Race the Sun (1996) Drama
121,"Boys of St. Vincent, The (1993)",Drama,"Boys of St. Vincent, The (1993) Drama"
122,Boomerang (1992),Comedy|Romance,Boomerang (1992) Comedy|Romance
123,Chungking Express (1994),Drama|Mystery|Romance,Chungking Express (1994) Drama|Mystery|Romance
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,"Star Maker, The (Uomo delle stelle, L') (1995) Drama"
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster (1996) Comedy
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,"NeverEnding Story III, The (1994) Adventure|Children's|Fantasy"
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,"Silence of the Palace, The (Saimt el Qusur) (1994) Drama"
128,Jupiter's Wife (1994),Documentary,Jupiter's Wife (1994) Documentary
129,Pie in the Sky (1995),Comedy|Romance,Pie in the Sky (1995) Comedy|Romance
130,Angela (1995),Drama,Angela (1995) Drama
131,Frankie Starlight (1995),Drama|Romance,Frankie Starlight (1995) Drama|Romance
132,Jade (1995),Thriller,Jade (1995) Thriller
133,Nueba Yol (1995),Comedy|Drama,Nueba Yol (1995) Comedy|Drama
134,Sonic Outlaws (1995),Documentary,Sonic Outlaws (1995) Documentary
135,Down Periscope (1996),Comedy,Down Periscope (1996) Comedy
136,From the Journals of Jean Seberg (1995),Documentary,From the Journals of Jean Seberg (1995) Documentary
137,Man of the Year (1995),Documentary,Man of the Year (1995) Documentary
138,"Neon Bible, The (1995)",Drama,"Neon Bible, The (1995) Drama"
139,Target (1995),Action|Drama,Target (1995) Action|Drama
140,Up Close and Personal (1996),Drama|Romance,Up Close and Personal (1996) Drama|Romance
141,"Birdcage, The (1996)",Comedy,"Birdcage, The (1996) Comedy"
142,Shadows (Cienie) (1988),Drama,Shadows (Cienie) (1988) Drama
143,Gospa (1995),Drama,Gospa (1995) Drama
144,"Brothers McMullen, The (1995)",Comedy,"Brothers McMullen, The (1995) Comedy"
145,Bad Boys (1995),Action,Bad Boys (1995) Action
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,"Amazing Panda Adventure, The (1995) Adventure|Children's"
147,"Basketball Diaries, The (1995)",Drama,"Basketball Diaries, The (1995) Drama"
148,"Awfully Big Adventure, An (1995)",Drama,"Awfully Big Adventure, An (1995) Drama"
149,Amateur (1994),Crime|Drama|Thriller,Amateur (1994) Crime|Drama|Thriller
150,Apollo 13 (1995),Drama,Apollo 13 (1995) Drama
151,Rob Roy (1995),Drama|Romance|War,Rob Roy (1995) Drama|Romance|War
152,"Addiction, The (1995)",Horror,"Addiction, The (1995) Horror"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever (1995) Action|Adventure|Comedy|Crime
154,Belle de jour (1967),Drama,Belle de jour (1967) Drama
155,Beyond Rangoon (1995),Drama|War,Beyond Rangoon (1995) Drama|War
156,Blue in the Face (1995),Comedy,Blue in the Face (1995) Comedy
157,Canadian Bacon (1994),Comedy|War,Canadian Bacon (1994) Comedy|War
158,Casper (1995),Adventure|Children's,Casper (1995) Adventure|Children's
159,Clockers (1995),Drama,Clockers (1995) Drama
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo (1995) Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide (1995) Drama|Thriller|War
162,Crumb (1994),Documentary,Crumb (1994) Documentary
163,Desperado (1995),Action|Romance|Thriller,Desperado (1995) Action|Romance|Thriller
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress (1995) Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Action|Thriller,Die Hard: With a Vengeance (1995) Action|Thriller
166,"Doom Generation, The (1995)",Comedy|Drama,"Doom Generation, The (1995) Comedy|Drama"
167,Feast of July (1995),Drama,Feast of July (1995) Drama
168,First Knight (1995),Action|Adventure|Drama|Romance,First Knight (1995) Action|Adventure|Drama|Romance
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,Free Willy 2: The Adventure Home (1995) Adventure|Children's|Drama
170,Hackers (1995),Action|Crime|Thriller,Hackers (1995) Action|Crime|Thriller
171,Jeffrey (1995),Comedy,Jeffrey (1995) Comedy
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Johnny Mnemonic (1995) Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,Judge Dredd (1995) Action|Adventure|Sci-Fi
174,Jury Duty (1995),Comedy,Jury Duty (1995) Comedy
175,Kids (1995),Drama,Kids (1995) Drama
176,Living in Oblivion (1995),Comedy,Living in Oblivion (1995) Comedy
177,Lord of Illusions (1995),Horror,Lord of Illusions (1995) Horror
178,Love & Human Remains (1993),Comedy,Love & Human Remains (1993) Comedy
179,Mad Love (1995),Drama|Romance,Mad Love (1995) Drama|Romance
180,Mallrats (1995),Comedy,Mallrats (1995) Comedy
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,Mighty Morphin Power Rangers: The Movie (1995) Action|Children's
182,Moonlight and Valentino (1995),Drama|Romance,Moonlight and Valentino (1995) Drama|Romance
183,Mute Witness (1994),Thriller,Mute Witness (1994) Thriller
184,Nadja (1994),Drama,Nadja (1994) Drama
185,"Net, The (1995)",Sci-Fi|Thriller,"Net, The (1995) Sci-Fi|Thriller"
186,Nine Months (1995),Comedy,Nine Months (1995) Comedy
187,Party Girl (1995),Comedy,Party Girl (1995) Comedy
188,"Prophecy, The (1995)",Horror,"Prophecy, The (1995) Horror"
189,Reckless (1995),Comedy,Reckless (1995) Comedy
190,Safe (1995),Thriller,Safe (1995) Thriller
191,"Scarlet Letter, The (1995)",Drama,"Scarlet Letter, The (1995) Drama"
192,"Show, The (1995)",Documentary,"Show, The (1995) Documentary"
193,Showgirls (1995),Drama,Showgirls (1995) Drama
194,Smoke (1995),Drama,Smoke (1995) Drama
195,Something to Talk About (1995),Comedy|Drama|Romance,Something to Talk About (1995) Comedy|Drama|Romance
196,Species (1995),Horror|Sci-Fi,Species (1995) Horror|Sci-Fi
197,"Stars Fell on Henrietta, The (1995)",Drama,"Stars Fell on Henrietta, The (1995) Drama"
198,Strange Days (1995),Action|Crime|Sci-Fi,Strange Days (1995) Action|Crime|Sci-Fi
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964) Drama|Musical"
200,"Tie That Binds, The (1995)",Thriller,"Tie That Binds, The (1995) Thriller"
201,Three Wishes (1995),Drama,Three Wishes (1995) Drama
202,Total Eclipse (1995),Drama|Romance,Total Eclipse (1995) Drama|Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar (1995) Comedy"
204,Under Siege 2: Dark Territory (1995),Action,Under Siege 2: Dark Territory (1995) Action
205,Unstrung Heroes (1995),Comedy|Drama,Unstrung Heroes (1995) Comedy|Drama
206,Unzipped (1995),Documentary,Unzipped (1995) Documentary
207,"Walk in the Clouds, A (1995)",Drama|Romance,"Walk in the Clouds, A (1995) Drama|Romance"
208,Waterworld (1995),Action|Adventure,Waterworld (1995) Action|Adventure
209,White Man's Burden (1995),Drama,White Man's Burden (1995) Drama
210,Wild Bill (1995),Western,Wild Bill (1995) Western
211,"Browning Version, The (1994)",Drama,"Browning Version, The (1994) Drama"
212,Bushwhacked (1995),Comedy,Bushwhacked (1995) Comedy
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,Burnt By the Sun (Utomlyonnye solntsem) (1994) Drama
214,Before the Rain (Pred dozhdot) (1994),Drama,Before the Rain (Pred dozhdot) (1994) Drama
215,Before Sunrise (1995),Drama|Romance,Before Sunrise (1995) Drama|Romance
216,Billy Madison (1995),Comedy,Billy Madison (1995) Comedy
217,"Babysitter, The (1995)",Drama|Thriller,"Babysitter, The (1995) Drama|Thriller"
218,Boys on the Side (1995),Comedy|Drama,Boys on the Side (1995) Comedy|Drama
219,"Cure, The (1995)",Drama,"Cure, The (1995) Drama"
220,Castle Freak (1995),Horror,Castle Freak (1995) Horror
222,Circle of Friends (1995),Drama|Romance,Circle of Friends (1995) Drama|Romance
223,Clerks (1994),Comedy,Clerks (1994) Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Don Juan DeMarco (1995) Comedy|Drama|Romance
225,Disclosure (1994),Drama|Thriller,Disclosure (1994) Drama|Thriller
226,Dream Man (1995),Thriller,Dream Man (1995) Thriller
227,Drop Zone (1994),Action,Drop Zone (1994) Action
228,Destiny Turns on the Radio (1995),Comedy,Destiny Turns on the Radio (1995) Comedy
229,Death and the Maiden (1994),Drama|Thriller,Death and the Maiden (1994) Drama|Thriller
230,Dolores Claiborne (1994),Drama|Thriller,Dolores Claiborne (1994) Drama|Thriller
231,Dumb & Dumber (1994),Comedy,Dumb & Dumber (1994) Comedy
232,Eat Drink Man Woman (1994),Comedy|Drama,Eat Drink Man Woman (1994) Comedy|Drama
233,Exotica (1994),Drama,Exotica (1994) Drama
234,Exit to Eden (1994),Comedy,Exit to Eden (1994) Comedy
235,Ed Wood (1994),Comedy|Drama,Ed Wood (1994) Comedy|Drama
236,French Kiss (1995),Comedy|Romance,French Kiss (1995) Comedy|Romance
237,Forget Paris (1995),Comedy|Romance,Forget Paris (1995) Comedy|Romance
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,Far From Home: The Adventures of Yellow Dog (1995) Adventure|Children's
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,"Goofy Movie, A (1995) Animation|Children's|Comedy|Romance"
240,Hideaway (1995),Thriller,Hideaway (1995) Thriller
241,Fluke (1995),Children's|Drama,Fluke (1995) Children's|Drama
242,Farinelli: il castrato (1994),Drama|Musical,Farinelli: il castrato (1994) Drama|Musical
243,Gordy (1995),Comedy,Gordy (1995) Comedy
244,Gumby: The Movie (1995),Animation|Children's,Gumby: The Movie (1995) Animation|Children's
245,"Glass Shield, The (1994)",Crime|Drama,"Glass Shield, The (1994) Crime|Drama"
246,Hoop Dreams (1994),Documentary,Hoop Dreams (1994) Documentary
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,Heavenly Creatures (1994) Drama|Fantasy|Romance|Thriller
248,Houseguest (1994),Comedy,Houseguest (1994) Comedy
249,Immortal Beloved (1994),Drama|Romance,Immortal Beloved (1994) Drama|Romance
250,Heavyweights (1994),Children's|Comedy,Heavyweights (1994) Children's|Comedy
251,"Hunted, The (1995)",Action,"Hunted, The (1995) Action"
252,I.Q. (1994),Comedy|Romance,I.Q. (1994) Comedy|Romance
253,Interview with the Vampire (1994),Drama|Horror,Interview with the Vampire (1994) Drama|Horror
254,Jefferson in Paris (1995),Drama,Jefferson in Paris (1995) Drama
255,"Jerky Boys, The (1994)",Comedy,"Jerky Boys, The (1994) Comedy"
256,Junior (1994),Comedy|Sci-Fi,Junior (1994) Comedy|Sci-Fi
257,Just Cause (1995),Mystery|Thriller,Just Cause (1995) Mystery|Thriller
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,"Kid in King Arthur's Court, A (1995) Adventure|Children's|Comedy|Fantasy|Romance"
259,Kiss of Death (1995),Crime|Drama|Thriller,Kiss of Death (1995) Crime|Drama|Thriller
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode IV - A New Hope (1977) Action|Adventure|Fantasy|Sci-Fi
261,Little Women (1994),Drama,Little Women (1994) Drama
262,"Little Princess, A (1995)",Children's|Drama,"Little Princess, A (1995) Children's|Drama"
263,Ladybird Ladybird (1994),Drama,Ladybird Ladybird (1994) Drama
264,"Enfer, L' (1994)",Drama,"Enfer, L' (1994) Drama"
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,Like Water for Chocolate (Como agua para chocolate) (1992) Drama|Romance
266,Legends of the Fall (1994),Drama|Romance|War|Western,Legends of the Fall (1994) Drama|Romance|War|Western
267,Major Payne (1994),Comedy,Major Payne (1994) Comedy
268,Little Odessa (1994),Drama,Little Odessa (1994) Drama
269,My Crazy Life (Mi vida loca) (1993),Drama,My Crazy Life (Mi vida loca) (1993) Drama
270,Love Affair (1994),Drama|Romance,Love Affair (1994) Drama|Romance
271,Losing Isaiah (1995),Drama,Losing Isaiah (1995) Drama
272,"Madness of King George, The (1994)",Drama,"Madness of King George, The (1994) Drama"
273,Mary Shelley's Frankenstein (1994),Drama|Horror,Mary Shelley's Frankenstein (1994) Drama|Horror
274,Man of the House (1995),Comedy,Man of the House (1995) Comedy
275,Mixed Nuts (1994),Comedy,Mixed Nuts (1994) Comedy
276,Milk Money (1994),Comedy|Romance,Milk Money (1994) Comedy|Romance
277,Miracle on 34th Street (1994),Drama,Miracle on 34th Street (1994) Drama
278,Miami Rhapsody (1995),Comedy,Miami Rhapsody (1995) Comedy
279,My Family (1995),Drama,My Family (1995) Drama
280,Murder in the First (1995),Drama|Thriller,Murder in the First (1995) Drama|Thriller
281,Nobody's Fool (1994),Drama,Nobody's Fool (1994) Drama
282,Nell (1994),Drama,Nell (1994) Drama
283,New Jersey Drive (1995),Crime|Drama,New Jersey Drive (1995) Crime|Drama
284,New York Cop (1996),Action|Crime,New York Cop (1996) Action|Crime
285,Beyond Bedlam (1993),Drama|Horror,Beyond Bedlam (1993) Drama|Horror
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,Nemesis 2: Nebula (1995) Action|Sci-Fi|Thriller
287,Nina Takes a Lover (1994),Comedy|Romance,Nina Takes a Lover (1994) Comedy|Romance
288,Natural Born Killers (1994),Action|Thriller,Natural Born Killers (1994) Action|Thriller
289,Only You (1994),Comedy|Romance,Only You (1994) Comedy|Romance
290,Once Were Warriors (1994),Crime|Drama,Once Were Warriors (1994) Crime|Drama
291,Poison Ivy II (1995),Thriller,Poison Ivy II (1995) Thriller
292,Outbreak (1995),Action|Drama|Thriller,Outbreak (1995) Action|Drama|Thriller
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,"Professional, The (a.k.a. Leon: The Professional) (1994) Crime|Drama|Romance|Thriller"
294,"Perez Family, The (1995)",Comedy|Romance,"Perez Family, The (1995) Comedy|Romance"
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,"Pyromaniac's Love Story, A (1995) Comedy|Romance"
296,Pulp Fiction (1994),Crime|Drama,Pulp Fiction (1994) Crime|Drama
297,Panther (1995),Drama,Panther (1995) Drama
298,Pushing Hands (1992),Comedy,Pushing Hands (1992) Comedy
299,Priest (1994),Drama,Priest (1994) Drama
300,Quiz Show (1994),Drama,Quiz Show (1994) Drama
301,Picture Bride (1995),Drama|Romance,Picture Bride (1995) Drama|Romance
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,Queen Margot (La Reine Margot) (1994) Drama|Romance
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,"Quick and the Dead, The (1995) Action|Adventure|Western"
304,Roommates (1995),Comedy|Drama,Roommates (1995) Comedy|Drama
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Ready to Wear (Pret-A-Porter) (1994) Comedy
306,Three Colors: Red (1994),Drama,Three Colors: Red (1994) Drama
307,Three Colors: Blue (1993),Drama,Three Colors: Blue (1993) Drama
308,Three Colors: White (1994),Drama,Three Colors: White (1994) Drama
309,"Red Firecracker, Green Firecracker (1994)",Drama,"Red Firecracker, Green Firecracker (1994) Drama"
310,Rent-a-Kid (1995),Comedy,Rent-a-Kid (1995) Comedy
311,Relative Fear (1994),Horror|Thriller,Relative Fear (1994) Horror|Thriller
312,Stuart Saves His Family (1995),Comedy,Stuart Saves His Family (1995) Comedy
313,"Swan Princess, The (1994)",Animation|Children's,"Swan Princess, The (1994) Animation|Children's"
314,"Secret of Roan Inish, The (1994)",Drama,"Secret of Roan Inish, The (1994) Drama"
315,"Specialist, The (1994)",Action,"Specialist, The (1994) Action"
316,Stargate (1994),Action|Adventure|Sci-Fi,Stargate (1994) Action|Adventure|Sci-Fi
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,"Santa Clause, The (1994) Children's|Comedy|Fantasy"
318,"Shawshank Redemption, The (1994)",Drama,"Shawshank Redemption, The (1994) Drama"
319,Shallow Grave (1994),Thriller,Shallow Grave (1994) Thriller
320,Suture (1993),Film-Noir|Thriller,Suture (1993) Film-Noir|Thriller
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,Strawberry and Chocolate (Fresa y chocolate) (1993) Drama
322,Swimming with Sharks (1995),Comedy|Drama,Swimming with Sharks (1995) Comedy|Drama
324,"Sum of Us, The (1994)",Comedy,"Sum of Us, The (1994) Comedy"
325,National Lampoon's Senior Trip (1995),Comedy,National Lampoon's Senior Trip (1995) Comedy
326,To Live (Huozhe) (1994),Drama,To Live (Huozhe) (1994) Drama
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,Tank Girl (1995) Action|Comedy|Musical|Sci-Fi
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,Tales From the Crypt Presents: Demon Knight (1995) Horror
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,Star Trek: Generations (1994) Action|Adventure|Sci-Fi
330,Tales from the Hood (1995),Comedy|Horror,Tales from the Hood (1995) Comedy|Horror
331,Tom & Viv (1994),Drama,Tom & Viv (1994) Drama
332,Village of the Damned (1995),Horror|Sci-Fi,Village of the Damned (1995) Horror|Sci-Fi
333,Tommy Boy (1995),Comedy,Tommy Boy (1995) Comedy
